Day;Name;Stars;Solutions
1;`The Tyranny of the Rocket Equation <https://adventofcode.com/2019/day/1>`_;⭐️⭐️;`Go </2019/go/01/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day01/day01.kt>`_, `F# </2019/fsharp/Day01/Solution.fs>`_
2;`1202 Program Alarm <https://adventofcode.com/2019/day/2>`_;⭐️⭐️;`Go </2019/go/02/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day02/day02.kt>`_
3;`Crossed Wires <https://adventofcode.com/2019/day/3>`_;⭐️⭐️;`Go </2019/go/03/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day03/day03.kt>`_
4;`Secure Container <https://adventofcode.com/2019/day/4>`_;⭐️⭐️;`Go </2019/go/04/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day04/day04.kt>`_
5;`Sunny with a Chance of Asteroids <https://adventofcode.com/2019/day/5>`_;⭐️⭐️;`Go </2019/go/05/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day05/day05.kt>`_
6;`Universal Orbit Map <https://adventofcode.com/2019/day/6>`_;⭐️⭐️;`Go </2019/go/06/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day06/day06.kt>`_
7;`Amplification Circuit <https://adventofcode.com/2019/day/7>`_;⭐️⭐️;`Go </2019/go/07/main.go>`_, `Kotlin </2019/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2019/day07/day07.kt>`_
8;`Space Image Format <https://adventofcode.com/2019/day/8>`_;⭐️⭐️;`Go </2019/go/08/main.go>`_
9;`Sensor Boost <https://adventofcode.com/2019/day/9>`_;⭐️⭐️;`Go </2019/go/09/main.go>`_
10;`Monitoring Station <https://adventofcode.com/2019/day/10>`_;⭐️⭐️;`Go </2019/go/10/main.go>`_
11;`Space Police <https://adventofcode.com/2019/day/11>`_;⭐️⭐️;`Go </2019/go/11/main.go>`_
12;`The N-Body Problem <https://adventofcode.com/2019/day/12>`_;⭐️⭐️;`Go </2019/go/12/main.go>`_
13;`Care Package <https://adventofcode.com/2019/day/13>`_;⭐️⭐️;`Go </2019/go/13/main.go>`_
14;`Space Stoichiometry <https://adventofcode.com/2019/day/14>`_;⭐️⭐️;`Go </2019/go/14/main.go>`_
15;`Oxygen System <https://adventofcode.com/2019/day/15>`_;⭐️⭐️;`Go </2019/go/15/main.go>`_
16;`Flawed Frequency Transmission <https://adventofcode.com/2019/day/16>`_;⭐️;`Go </2019/go/16/main.go>`_
17;`Set and Forget <https://adventofcode.com/2019/day/17>`_;⭐️;`Go </2019/go/17/main.go>`_
18;`Many-Worlds Interpretation <https://adventofcode.com/2019/day/18>`_;;
19;`Tractor Beam <https://adventofcode.com/2019/day/19>`_;⭐️;`Go </2019/go/19/main.go>`_
20;`Donut Maze <https://adventofcode.com/2019/day/20>`_;;
21;`Springdroid Adventure <https://adventofcode.com/2019/day/21>`_;;
22;`Slam Shuffle <https://adventofcode.com/2019/day/22>`_;;
23;`Category Six <https://adventofcode.com/2019/day/23>`_;;
24;`Planet of Discord <https://adventofcode.com/2019/day/24>`_;;
25;`Cryostasis <https://adventofcode.com/2019/day/25>`_;;
