Day;Name;Stars;Solutions
1;`Chronal Calibration <https://adventofcode.com/2018/day/1>`_;⭐️⭐️;`Go </2018/go/01/main.go>`_, `F# </2018/fsharp/Day01/Program.fs>`_
2;`Inventory Management System <https://adventofcode.com/2018/day/2>`_;⭐️⭐️;`Go </2018/go/02/main.go>`_, `F# </2018/fsharp/Day02/Program.fs>`_
3;`No Matter How You Slice It <https://adventofcode.com/2018/day/3>`_;⭐️⭐️;`Go </2018/go/03/main.go>`_, `F# </2018/fsharp/Day03/Program.fs>`_
4;`Repose Record <https://adventofcode.com/2018/day/4>`_;⭐️⭐️;`Go </2018/go/04/main.go>`_, `F# </2018/fsharp/Day04/Program.fs>`_
5;`Alchemical Reduction <https://adventofcode.com/2018/day/5>`_;⭐️⭐️;`Go </2018/go/05/main.go>`_, `F# </2018/fsharp/Day05/Program.fs>`_
6;`Chronal Coordinates <https://adventofcode.com/2018/day/6>`_;;
7;`The Sum of Its Parts <https://adventofcode.com/2018/day/7>`_;⭐️⭐️;`F# </2018/fsharp/Day07/Program.fs>`_
8;`Memory Maneuver <https://adventofcode.com/2018/day/8>`_;;
9;`Marble Mania <https://adventofcode.com/2018/day/9>`_;;
10;`The Stars Align <https://adventofcode.com/2018/day/10>`_;⭐️⭐️;`F# </2018/fsharp/Day10/Program.fs>`_
11;`Chronal Charge <https://adventofcode.com/2018/day/11>`_;;
12;`Subterranean Sustainability <https://adventofcode.com/2018/day/12>`_;;
13;`Mine Cart Madness <https://adventofcode.com/2018/day/13>`_;;
14;`Chocolate Charts <https://adventofcode.com/2018/day/14>`_;;
15;`Beverage Bandits <https://adventofcode.com/2018/day/15>`_;;
16;`Chronal Classification <https://adventofcode.com/2018/day/16>`_;;
17;`Reservoir Research <https://adventofcode.com/2018/day/17>`_;;
18;`Settlers of The North Pole <https://adventofcode.com/2018/day/18>`_;;
19;`Go With The Flow <https://adventofcode.com/2018/day/19>`_;;
20;`A Regular Map <https://adventofcode.com/2018/day/20>`_;;
21;`Chronal Conversion <https://adventofcode.com/2018/day/21>`_;;
22;`Mode Maze <https://adventofcode.com/2018/day/22>`_;;
23;`Experimental Emergency Teleportation <https://adventofcode.com/2018/day/23>`_;;
24;`Immune System Simulator 20XX <https://adventofcode.com/2018/day/24>`_;;
25;`Four-Dimensional Adventure <https://adventofcode.com/2018/day/25>`_;;
