--- scanner 0 ---
645,-448,-766
529,751,-867
596,-483,472
584,-612,-728
474,-460,434
519,-382,388
-348,803,-533
-537,553,429
-294,-812,-542
479,-471,-692
-371,642,-453
-318,612,-477
-395,-304,520
-584,541,384
144,72,-32
-395,-670,-544
558,671,-929
512,677,703
-428,-427,552
405,711,772
423,630,722
-390,-536,556
642,620,-881
-674,550,365
-389,-736,-572

--- scanner 1 ---
-393,403,722
643,282,-608
351,315,563
721,-673,-816
355,306,639
621,-719,700
825,382,-598
685,-475,-791
-368,-959,-481
-486,-753,361
-486,696,-868
-384,-661,271
448,336,736
-529,335,716
542,-668,644
87,-105,-137
-435,-988,-672
-36,-10,-38
-441,-742,293
667,-668,-722
-650,402,705
692,312,-657
-526,656,-877
-402,-874,-553
-606,595,-896
658,-738,740

--- scanner 2 ---
-502,386,-714
-447,481,-660
-710,431,691
-420,-743,260
655,418,584
-487,447,-683
489,-827,-821
438,653,-769
431,791,-690
839,-489,706
639,-925,-819
868,-558,767
-662,481,702
548,360,670
-529,457,646
61,23,-129
410,742,-710
-417,-905,386
-452,-834,262
452,438,629
608,-869,-690
-745,-799,-676
-690,-606,-679
893,-495,695
-662,-751,-591

--- scanner 3 ---
562,772,919
-673,-779,-320
799,-477,579
769,-466,766
-778,-788,594
-696,-684,666
12,-164,174
-561,652,599
-623,462,-553
-619,628,532
-786,360,-579
779,-879,-761
709,591,-439
-745,515,-617
-708,632,577
797,-892,-635
575,680,849
660,617,893
789,-461,644
-635,-869,-324
-631,-770,654
146,-103,-7
845,-834,-745
723,540,-411
-695,-740,-223
675,437,-497

--- scanner 4 ---
568,-402,-528
731,747,-759
582,-463,-371
-6,14,139
636,-380,-382
767,528,479
637,447,439
678,763,-629
-800,-324,-524
676,505,415
-669,389,463
893,-564,777
753,-440,773
-673,-393,-510
667,-628,779
-773,-776,730
-433,585,-672
-424,339,-644
-444,479,-632
-525,-343,-523
-571,544,489
-856,-796,879
-783,-742,862
620,701,-794
-656,481,533

--- scanner 5 ---
56,90,-41
-341,751,-661
363,-837,546
-98,7,42
396,695,826
-659,-454,-504
-851,-375,-528
-822,-315,559
383,775,632
394,828,684
775,706,-750
372,-654,549
405,-579,-739
-354,779,-558
813,687,-742
520,-748,559
-831,-477,595
-748,-455,-545
507,-477,-669
865,736,-846
-665,690,600
-891,-375,463
-434,670,-568
410,-424,-714
-625,724,577
-610,785,546

--- scanner 6 ---
743,442,600
671,-584,-384
-368,-399,-275
721,359,-540
-775,675,541
-368,-352,-512
674,-743,848
-433,-415,560
510,-623,-396
-786,552,646
-380,-493,699
647,-653,-391
-415,-389,709
687,-827,756
-766,613,-425
-753,671,-345
744,531,559
-797,461,551
883,368,-504
-811,715,-419
823,299,-408
-386,-334,-442
823,339,583
-58,12,59
588,-797,884

--- scanner 7 ---
-476,-516,410
-869,-855,-731
394,398,-696
371,389,735
370,478,776
253,408,-685
497,-917,-638
-754,703,712
440,-796,487
291,286,752
326,-941,-597
332,-909,-547
-492,-471,488
427,-880,579
-835,796,619
526,-850,451
-101,-42,131
-843,264,-774
-863,783,722
-825,315,-711
291,528,-715
-729,-962,-773
-828,424,-691
-741,-875,-595
-581,-595,463

--- scanner 8 ---
339,-571,-769
-785,492,873
-651,828,-325
809,-419,513
-565,792,-379
-729,-452,-499
-552,700,-295
351,869,-659
-702,-787,589
477,-492,-762
-515,-776,559
-12,9,46
706,590,553
367,791,-704
825,-374,579
388,-551,-790
628,593,527
-592,-447,-469
-580,-792,569
-787,573,905
699,-361,561
-573,509,904
635,653,597
456,816,-580
-568,-440,-538

--- scanner 9 ---
-387,413,750
491,-575,-842
-512,-475,-986
-518,-567,-869
538,-523,-955
-380,473,742
-667,366,-540
-568,317,-630
501,-500,-799
498,690,698
-752,-868,583
-583,250,-491
377,766,763
-695,-907,651
84,-52,-107
-791,-929,749
512,351,-589
566,413,-622
-395,307,683
5,-184,6
750,-738,777
864,-841,704
690,-831,766
-566,-425,-860
528,383,-825
463,615,714

--- scanner 10 ---
600,-778,-693
623,699,654
-508,771,-532
-563,-403,-774
378,-950,575
681,686,734
-619,806,-578
369,-788,539
309,-890,671
-342,301,567
-602,-427,-832
725,744,660
650,-643,-732
-574,-738,695
527,301,-619
614,456,-632
648,-657,-710
-561,641,-516
-88,-167,1
-324,319,637
-472,-467,-751
-613,-577,683
540,497,-624
-643,-714,688
-389,301,804
95,-68,-43

