Day;Name;Stars;Solutions
01;`Not Quite Lisp <https://adventofcode.com/2015/day/1>`_;⭐️⭐️;`F# </2015/fsharp/Day01/Program.fs>`_
02;`I Was Told There Would Be No Math <https://adventofcode.com/2015/day/2>`_;⭐️⭐️;`F# </2015/fsharp/Day02/Program.fs>`_
03;`Perfectly Spherical Houses in a Vacuum <https://adventofcode.com/2015/day/3>`_;⭐️⭐️;`F# </2015/fsharp/Day03/Program.fs>`_
04;`The Ideal Stocking Stuffer <https://adventofcode.com/2015/day/4>`_;⭐️⭐️;`F# </2015/fsharp/Day04/Program.fs>`_
05;`Doesn't He Have Intern-Elves For This? <https://adventofcode.com/2015/day/5>`_;⭐️⭐️;`F# </2015/fsharp/Day05/Program.fs>`_
06;`Probably a Fire Hazard <https://adventofcode.com/2015/day/6>`_;⭐️⭐️;`F# </2015/fsharp/Day06/Program.fs>`_
07;`Some Assembly Required <https://adventofcode.com/2015/day/7>`_;⭐️⭐️;`F# </2015/fsharp/Day07/Program.fs>`_
08;`Matchsticks <https://adventofcode.com/2015/day/8>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day08/src/Day08.kt>`_
09;`All in a Single Night <https://adventofcode.com/2015/day/9>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day09/src/Day09.kt>`_
10;`Elves Look, Elves Say <https://adventofcode.com/2015/day/10>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day10.kt>`_
11;`Corporate Policy <https://adventofcode.com/2015/day/11>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day11.kt>`_
12;`JSAbacusFramework.io <https://adventofcode.com/2015/day/12>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day12/src/Day12.kt>`_
13;`Knights of the Dinner Table <https://adventofcode.com/2015/day/13>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day13.kt>`_
14;`Reindeer Olympics <https://adventofcode.com/2015/day/14>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day14.kt>`_
15;`Science for Hungry People <https://adventofcode.com/2015/day/15>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day15.kt>`_
16;`Aunt Sue <https://adventofcode.com/2015/day/16>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day16.kt>`_
17;`No Such Thing as Too Much <https://adventofcode.com/2015/day/17>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day17.kt>`_
18;`Like a GIF For Your Yard <https://adventofcode.com/2015/day/18>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day18.kt>`_
19;`Medicine for Rudolph <https://adventofcode.com/2015/day/19>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day19.kt>`_
20;`Infinite Elves and Infinite Houses <https://adventofcode.com/2015/day/20>`_;⭐️⭐️;`Kotlin </2015/kotlin/src/main/kotlin/nl/sanderp/aoc/aoc2015/day10/src/Day20.kt>`_
21;`RPG Simulator 20XX <https://adventofcode.com/2015/day/21>`_;;
22;`Wizard Simulator 20XX <https://adventofcode.com/2015/day/22>`_;;
23;`Opening the Turing Lock <https://adventofcode.com/2015/day/23>`_;;
24;`It Hangs in the Balance <https://adventofcode.com/2015/day/24>`_;;
25;`Let It Snow <https://adventofcode.com/2015/day/25>`_;;
