Day;Name;Stars;Solutions
1;`Report Repair <https://adventofcode.com/2020/day/1>`_;⭐️⭐️;`F# </2020/fsharp/Day01/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day01/Solution.cs>`_, `Python </2020/python/aoc_2020/day01.py>`_
2;`Password Philosophy <https://adventofcode.com/2020/day/2>`_;⭐️⭐️;`F# </2020/fsharp/Day02/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day02/Solution.cs>`_, `Python </2020/python/aoc_2020/day02.py>`_
3;`Toboggan Trajectory <https://adventofcode.com/2020/day/3>`_;⭐️⭐️;`F# </2020/fsharp/Day03/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day03/Solution.cs>`_, `Python </2020/python/aoc_2020/day03.py>`_
4;`Passport Processing <https://adventofcode.com/2020/day/4>`_;⭐️⭐️;`F# </2020/fsharp/Day04/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day04/Solution.cs>`_, `Python </2020/python/aoc_2020/day04.py>`_
5;`Binary Boarding <https://adventofcode.com/2020/day/5>`_;⭐️⭐️;`F# </2020/fsharp/Day05/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day05/Solution.cs>`_, `Python </2020/python/aoc_2020/day05.py>`_
6;`Custom Customs <https://adventofcode.com/2020/day/6>`_;⭐️⭐️;`F# </2020/fsharp/Day06/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day06/Solution.cs>`_, `Python </2020/python/aoc_2020/day06.py>`_
7;`Handy Haversacks <https://adventofcode.com/2020/day/7>`_;⭐️⭐️;`F# </2020/fsharp/Day07/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day07/Solution.cs>`_, `Python </2020/python/aoc_2020/day07.py>`_
8;`Handheld Halting <https://adventofcode.com/2020/day/8>`_;⭐️⭐️;`F# </2020/fsharp/Day08/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day08/Solution.cs>`_, `Python </2020/python/aoc_2020/day08.py>`_
9;`Encoding Error <https://adventofcode.com/2020/day/9>`_;⭐️⭐️;`F# </2020/fsharp/Day09/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day09/Solution.cs>`_, `Python </2020/python/aoc_2020/day09.py>`_
10;`Adapter Array <https://adventofcode.com/2020/day/10>`_;⭐️⭐️;`F# </2020/fsharp/Day10/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day10/Solution.cs>`_
11;`Seating System <https://adventofcode.com/2020/day/11>`_;⭐️⭐️;`F# </2020/fsharp/Day11/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day11/Solution.cs>`_
12;`Rain Risk <https://adventofcode.com/2020/day/12>`_;⭐️⭐️;`F# </2020/fsharp/Day12/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day12/Solution.cs>`_
13;`Shuttle Search <https://adventofcode.com/2020/day/13>`_;⭐️⭐️;`F# </2020/fsharp/Day13/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day13/Solution.cs>`_
14;`Docking Data <https://adventofcode.com/2020/day/14>`_;⭐️⭐️;`F# </2020/fsharp/Day14/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day14/Solution.cs>`_
15;`Rambunctious Recitation <https://adventofcode.com/2020/day/15>`_;⭐️⭐️;`F# </2020/fsharp/Day15/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day15/Solution.cs>`_
16;`Ticket Translation <https://adventofcode.com/2020/day/16>`_;⭐️⭐️;`F# </2020/fsharp/Day16/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day16/Solution.cs>`_
17;`Conway Cubes <https://adventofcode.com/2020/day/17>`_;⭐️⭐️;`F# </2020/fsharp/Day17/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day17/Solution.cs>`_
18;`Operation Order <https://adventofcode.com/2020/day/18>`_;⭐️⭐️;`F# </2020/fsharp/Day18/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day18/Solution.cs>`_
19;`Monster Messages <https://adventofcode.com/2020/day/19>`_;⭐️⭐️;`F# </2020/fsharp/Day19/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day19/Solution.cs>`_
20;`Jurassic Jigsaw <https://adventofcode.com/2020/day/20>`_;⭐️⭐️;`F# </2020/fsharp/Day20/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day20/Solution.cs>`_
21;`Allergen Assessment <https://adventofcode.com/2020/day/21>`_;⭐️⭐️;`F# </2020/fsharp/Day21/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day21/Solution.cs>`_
22;`Crab Combat <https://adventofcode.com/2020/day/22>`_;⭐️⭐️;`F# </2020/fsharp/Day22/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day22/Solution.cs>`_
23;`Crab Cups <https://adventofcode.com/2020/day/23>`_;⭐️⭐️;`F# </2020/fsharp/Day23/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day23/Solution.cs>`_
24;`Lobby Layout <https://adventofcode.com/2020/day/24>`_;⭐️⭐️;`F# </2020/fsharp/Day24/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day24/Solution.cs>`_
25;`Combo Breaker <https://adventofcode.com/2020/day/25>`_;⭐️⭐️;`F# </2020/fsharp/Day25/Program.fs>`_, `C# </2020/csharp/AdventOfCode2020/Day25/Solution.cs>`_
