Day;Name;Stars;Solutions
1;`No Time for a Taxicab <https://adventofcode.com/2016/day/1>`_;⭐️⭐️;`C# </2016/csharp/Day01/Solution.cs>`_, `F# </2016/fsharp/Day01/Program.fs>`_
2;`Bathroom Security <https://adventofcode.com/2016/day/2>`_;⭐️⭐️;`C# </2016/csharp/Day02/Solution.cs>`_, `F# </2016/fsharp/Day02/Program.fs>`_
3;`Squares With Three Sides <https://adventofcode.com/2016/day/3>`_;⭐️⭐️;`C# </2016/csharp/Day03/Solution.cs>`_, `F# </2016/fsharp/Day03/Program.fs>`_
4;`Security Through Obscurity <https://adventofcode.com/2016/day/4>`_;⭐️⭐️;`C# </2016/csharp/Day04/Solution.cs>`_, `F# </2016/fsharp/Day04/Program.fs>`_
5;`How About a Nice Game of Chess? <https://adventofcode.com/2016/day/5>`_;⭐️⭐️;`C# </2016/csharp/Day05/Solution.cs>`_, `F# </2016/fsharp/Day05/Program.fs>`_
6;`Signals and Noise <https://adventofcode.com/2016/day/6>`_;⭐️⭐️;`C# </2016/csharp/Day06/Solution.cs>`_, `F# </2016/fsharp/Day06/Program.fs>`_
7;`Internet Protocol Version 7 <https://adventofcode.com/2016/day/7>`_;⭐️⭐️;`C# </2016/csharp/Day07/Solution.cs>`_, `F# </2016/fsharp/Day07/Program.fs>`_
8;`Two-Factor Authentication <https://adventofcode.com/2016/day/8>`_;⭐️⭐️;`C# </2016/csharp/Day08/Solution.cs>`_, `F# </2016/fsharp/Day08/Program.fs>`_
9;`Explosives in Cyberspace <https://adventofcode.com/2016/day/9>`_;⭐️⭐️;`C# </2016/csharp/Day09/Solution.cs>`_, `F# </2016/fsharp/Day09/Program.fs>`_
10;`Balance Bots <https://adventofcode.com/2016/day/10>`_;⭐️⭐️;`C# </2016/csharp/Day10/Solution.cs>`_
11;`Radioisotope Thermoelectric Generators <https://adventofcode.com/2016/day/11>`_;;
12;`Leonardo's Monorail <https://adventofcode.com/2016/day/12>`_;⭐️⭐️;`C# </2016/csharp/Day12/Solution.cs>`_, `F# </2016/fsharp/Day12/Program.fs>`_
13;`A Maze of Twisty Little Cubicles <https://adventofcode.com/2016/day/13>`_;;
14;`One-Time Pad <https://adventofcode.com/2016/day/14>`_;;
15;`Timing is Everything <https://adventofcode.com/2016/day/15>`_;;
16;`Dragon Checksum <https://adventofcode.com/2016/day/16>`_;;
17;`Two Steps Forward <https://adventofcode.com/2016/day/17>`_;;
18;`Like a Rogue <https://adventofcode.com/2016/day/18>`_;;
19;`An Elephant Named Joseph <https://adventofcode.com/2016/day/19>`_;;
20;`Firewall Rules <https://adventofcode.com/2016/day/20>`_;;
21;`Scrambled Letters and Hash <https://adventofcode.com/2016/day/21>`_;;
22;`Grid Computing <https://adventofcode.com/2016/day/22>`_;;
23;`Safe Cracking <https://adventofcode.com/2016/day/23>`_;;
24;`Air Duct Spelunking <https://adventofcode.com/2016/day/24>`_;;
25;`Clock Signal <https://adventofcode.com/2016/day/25>`_;;
