Day;Name;Stars;Solutions
1;`Calorie Counting <https://adventofcode.com/2022/day/1>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day01.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day01.scala>`_, `Elixir </2022/elixir/lib/day01.ex>`_
2;`Rock Paper Scissors <https://adventofcode.com/2022/day/2>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day02.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day02.scala>`_, `Elixir </2022/elixir/lib/day02.ex>`_
3;`Rucksack Reorganization <https://adventofcode.com/2022/day/3>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day03.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day03.scala>`_
4;`Camp Cleanup <https://adventofcode.com/2022/day/4>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day04.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day04.scala>`_
5;`Supply Stacks <https://adventofcode.com/2022/day/5>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day05.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day05.scala>`_
6;`Tuning Trouble <https://adventofcode.com/2022/day/6>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day06.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day06.scala>`_
7;`No Space Left On Device <https://adventofcode.com/2022/day/7>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day07.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day07.scala>`_
8;`Treetop Tree House <https://adventofcode.com/2022/day/8>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day08.cs>`_
9;`Rope Bridge <https://adventofcode.com/2022/day/9>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day09.cs>`_
10;`Cathode-Ray Tube <https://adventofcode.com/2022/day/10>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day10.cs>`_
11;`Monkey in the Middle <https://adventofcode.com/2022/day/11>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day11.cs>`_
12;`Hill Climbing Algorithm <https://adventofcode.com/2022/day/12>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day12.cs>`_, `Scala </2022/scala/src/main/scala/AdventOfCode2022/Day12.scala>`_
13;`Distress Signal <https://adventofcode.com/2022/day/13>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day13.cs>`_
14;`Regolith Reservoir <https://adventofcode.com/2022/day/14>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day14.cs>`_
15;`Beacon Exclusion Zone <https://adventofcode.com/2022/day/15>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day15.cs>`_
16;`Proboscidea Volcanium <https://adventofcode.com/2022/day/16>`_;;
17;`Pyroclastic Flow <https://adventofcode.com/2022/day/17>`_;;
18;`Boiling Boulders <https://adventofcode.com/2022/day/18>`_;⭐️⭐️;`C# </2022/csharp/AdventOfCode2022/Day18.cs>`_
19;`Not Enough Minerals <https://adventofcode.com/2022/day/19>`_;;
20;`Grove Positioning System <https://adventofcode.com/2022/day/20>`_;;
21;`Monkey Math <https://adventofcode.com/2022/day/21>`_;;
22;`Monkey Map <https://adventofcode.com/2022/day/22>`_;;
23;`Unstable Diffusion <https://adventofcode.com/2022/day/23>`_;;
24;`Blizzard Basin <https://adventofcode.com/2022/day/24>`_;;
25;`Full of Hot Air <https://adventofcode.com/2022/day/25>`_;;
