Day;Name;Stars;Solutions
1;`Trebuchet?! <https://adventofcode.com/2023/day/1>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day01.py>`_, `Ruby </2023/ruby/day01.rb>`_
2;`Cube Conundrum <https://adventofcode.com/2023/day/2>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day02.py>`_
3;`Gear Ratios <https://adventofcode.com/2023/day/3>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day03.py>`_
4;`Scratchcards <https://adventofcode.com/2023/day/4>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day04.py>`_
5;`If You Give A Seed A Fertilizer <https://adventofcode.com/2023/day/5>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day05.py>`_
6;`Wait For It <https://adventofcode.com/2023/day/6>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day06.py>`_
7;`Camel Cards <https://adventofcode.com/2023/day/7>`_;⭐️⭐️;`Python </2023/python/aoc_2023/day07.py>`_
8;`Haunted Wasteland <https://adventofcode.com/2023/day/8>`_;⭐️⭐;`Python </2023/python/aoc_2023/day08.py>`_
9;`Mirage Maintenance <https://adventofcode.com/2023/day/9>`_;⭐️⭐;`Python </2023/python/aoc_2023/day09.py>`_
10;`Pipe Maze <https://adventofcode.com/2023/day/10>`_;⭐️⭐;`Python </2023/python/aoc_2023/day10.py>`_
11;`Cosmic Expansion <https://adventofcode.com/2023/day/11>`_;⭐️⭐;`Python </2023/python/aoc_2023/day11.py>`_
12;`Hot Springs <https://adventofcode.com/2023/day/12>`_;⭐️⭐;`Python </2023/python/aoc_2023/day12.py>`_
13;`Point of Incidence <https://adventofcode.com/2023/day/13>`_;⭐️⭐;`Python </2023/python/aoc_2023/day13.py>`_
14;`Parabolic Reflector Dish <https://adventofcode.com/2023/day/14>`_;⭐️⭐;`Python </2023/python/aoc_2023/day14.py>`_
15;`Lens Library <https://adventofcode.com/2023/day/15>`_;⭐️⭐;`Python </2023/python/aoc_2023/day15.py>`_
16;`The Floor Will Be Lava <https://adventofcode.com/2023/day/16>`_;⭐️⭐;`Python </2023/python/aoc_2023/day16.py>`_
17;`Clumsy Crucible <https://adventofcode.com/2023/day/17>`_;⭐️⭐;`Python </2023/python/aoc_2023/day17.py>`_
18;;;
19;;;
20;;;
21;;;
22;;;
23;;;
24;;;
25;;;
